t,x,y,theta,v,a_cmd,delta_cmd
1.000000000000000056e-01,2.579680061340332031e+01,6.129999923706054688e+01,0.000000000000000000e+00,7.967999935150146484e+00,6.564866962838009634e-01,4.752975787801917429e-01
2.000000000000000111e-01,2.659170150756835938e+01,6.130632400512695312e+01,7.958835922181606293e-03,7.949257850646972656e+00,1.500000000000000000e+00,-1.332199727920314603e-01
3.000000000000000444e-01,2.738747215270996094e+01,6.131265640258789062e+01,7.958835922181606293e-03,7.957964420318603516e+00,1.500000000000000000e+00,-1.100879844472952146e-01
4.000000000000000222e-01,2.818632507324218750e+01,6.131262588500976562e+01,-3.932416802854277194e-05,7.988535404205322266e+00,7.873880134557280641e-01,4.999999340735776232e-01
5.000000000000000000e-01,2.898855018615722656e+01,6.131259536743164062e+01,-3.932416802854277194e-05,8.022251129150390625e+00,-2.012886586634335395e-01,-2.830741468165107744e-01
6.000000000000000888e-01,2.979239082336425781e+01,6.130609512329101562e+01,-8.087460882961750031e-03,8.038672447204589844e+00,1.484015427033115175e+00,-5.686288294284735922e-02
7.000000000000000666e-01,3.059979057312011719e+01,6.129337692260742188e+01,-1.574880443513393402e-02,8.075006484985351562e+00,1.432448972883785032e+00,2.146038065896850866e-01
8.000000000000000444e-01,3.141230964660644531e+01,6.128092575073242188e+01,-1.532394066452980042e-02,8.126146316528320312e+00,1.500000000000000000e+00,-5.000000000000000000e-01
9.000000000000000222e-01,3.223113250732421875e+01,6.126201248168945312e+01,-2.309447899460792542e-02,8.190393447875976562e+00,-1.700172898708859792e+00,4.999999999996915245e-01
1.000000000000000000e+00,3.305102539062500000e+01,6.124342727661132812e+01,-2.266580238938331604e-02,8.201029777526855469e+00,1.500000000000000000e+00,1.692449931452983947e-01
1.100000000000000089e+00,3.387424087524414062e+01,6.123191070556640625e+01,-1.399070397019386292e-02,8.232944488525390625e+00,1.184521734287939276e+00,-4.999999999999998335e-01
